gene_id,PM2601,PM2602,PM2603,PM2604
gene-PA0060,1125,1134,843,1124
gene-PA0061,1349,1415,1194,1710
gene-PA0062,2050,2249,1485,1870
gene-PA0063,1982,1970,1795,2708
gene-PA0064,2796,3231,2423,2818
gene-PA0065,4838,5414,4139,5075
gene-PA0066,2591,2889,2225,2991
gene-PA0067,12669,13765,18382,21161
gene-PA0068,1871,2080,2046,2341
gene-PA0069,3230,3133,2473,3283
gene-PA0070,36831,35651,15489,17471
gene-PA0071,13383,12916,6611,8260
gene-PA0072,641,685,924,1702
gene-PA0073,299,273,355,647
gene-PA0074,10967,10224,5747,8128
gene-PA0075,3201,3088,1450,2112
gene-PA0076,1808,1678,1089,1698
gene-PA0077,20167,19542,8296,11514
gene-PA0078,8555,8017,3611,4689
gene-PA0079,13949,13135,5137,6210
gene-PA0080,9534,8843,3174,3511
gene-PA0081,12757,13477,6715,9490
gene-PA0082,12890,11732,3936,4558
gene-PA0083,21928,16374,4075,4459
gene-PA0084,85719,74915,15168,16631
gene-PA0085,19359,14056,3870,4209
gene-PA0086,7049,6163,1924,2570
gene-PA0087,9424,8821,2307,2714
gene-PA0088,13184,11408,3445,4584
gene-PA0089,6426,5921,1893,2875
gene-PA0090,17158,13638,4797,6862
gene-PA0091,10250,9560,3908,5285
gene-PA0092,3017,2574,1141,1258
gene-PA0093,6625,5728,2215,2883
gene-PA0094,6576,6088,2056,2421
gene-PA0095,8314,7369,3524,4507
gene-PA0096,1109,935,715,1041
gene-PA0097,1691,1786,1228,2078
gene-PA0098,904,1142,1164,1754
gene-PA0099,3625,2403,1134,1376
gene-PA0100,2642,1919,1213,1593
gene-PA0101,1263,1196,1154,1753
gene-PA0102,4166,4694,5770,6937
gene-PA0103,1919,2408,2669,3836
gene-PA0103a,2586,2729,2915,3796
gene-PA0105,1912,1663,1060,1433
gene-PA0106,2281,2054,1010,1603
gene-PA0107,1076,1037,507,831
gene-PA0108,1297,1291,790,1139
gene-PA0109,377,416,387,528
gene-PA0110,558,542,389,770
gene-PA0111,559,587,483,777
gene-PA0112,591,826,931,1469
gene-PA0113,1284,1031,1189,1751
gene-PA0114,4651,5422,5659,7471
gene-PA0115,1350,1544,1301,1684
gene-PA0116,1216,1292,1091,1245
gene-PA0117,875,1035,899,1466
gene-PA0118,1037,1339,1010,1556
gene-PA0119,2270,2880,1916,2573
gene-PA0120,1102,1555,1068,1532
gene-PA0121,684,755,872,1481
gene-PA0122,1190,910,665,847
gene-PA0123,1922,2310,1522,2198
gene-PA0124,1281,1163,584,804
gene-PA0125,736,852,411,569
gene-PA0126,6422,5764,2946,3711
gene-PA0127,1141,1363,1006,1400
gene-PA0128,947,609,689,617
gene-PA0129,2432,2697,2626,3411
gene-PA0130,10037,10471,12011,15130
gene-PA0131,2297,2828,2757,3380
gene-PA0132,6979,8732,8535,10878
gene-PA0133,1408,1533,1591,2394
gene-PA0134,2816,3192,3366,4521
gene-PA0135,313,148,72,90
gene-PA0136,857,1113,1184,1871
gene-PA0137,918,1129,858,1542
gene-PA0138,914,1034,913,1462
gene-PA0139,32123,31391,39809,44227
gene-PA0140,6528,6091,9012,9721
gene-PA0141,8984,8652,20968,23853
gene-PA0142,2191,2594,2252,3555
gene-PA0143,1953,2113,1981,2695
gene-PA0144,425,617,746,1241
gene-PA0145,660,742,963,1392
gene-PA0146,1572,1711,1007,1555
gene-PA0147,1412,1932,1519,2247
gene-PA0148,4456,4432,4016,4939
gene-PA0149,727,694,730,1370
gene-PA0150,742,708,606,1245
gene-PA0151,2980,3696,2239,3762
gene-PA0152,1082,1135,1140,1814
gene-PA0153,1395,1594,985,1506
gene-PA0154,1174,1399,822,1138
gene-PA0155,3758,4115,2598,3391
gene-PA0156,1464,2022,2197,3147
gene-PA0157,1439,1701,1988,2667
gene-PA0158,5567,5742,4314,5843
gene-PA0159,1997,2432,2457,2932
gene-PA0160,801,787,440,632
gene-PA0162,7280,7188,8278,10191
gene-PA0163,1373,1727,1799,2478
gene-PA0164,1171,1178,1489,2325
gene-PA0165,9923,9241,10181,11715
gene-PA0166,1091,1566,1430,2283
gene-PA0167,3001,3423,2820,3584
gene-PA0168,651,778,1028,1333
gene-PA0169,4192,4294,3337,3702
gene-PA0170,2385,2669,2028,2130
gene-PA0171,5509,5801,3958,4126
gene-PA0172,6824,7615,6207,7689
gene-PA0173,538,630,543,1047
gene-PA0174,657,761,542,851
gene-PA0175,1289,1544,984,1533
gene-PA0176,2109,2842,2441,3575
gene-PA0177,813,1016,734,1102
gene-PA0178,1716,2259,2423,3333
gene-PA0179,713,845,1046,1302
gene-PA0180,1714,1879,2158,3302
gene-PA0181,1171,1620,1363,2139
gene-PA0182,846,1149,1027,1663
gene-PA0183,2306,2749,1796,2993
gene-PA0184,919,1344,1229,1916
gene-PA0185,623,691,737,1390
gene-PA0186,1023,1629,915,1612
gene-PA0187,1054,1257,806,1383
gene-PA0188,882,1190,718,1453
gene-PA0189,869,969,940,1928
gene-PA0190,534,516,312,495
gene-PA0191,1482,1886,833,1167
gene-PA0192,2662,3468,1866,3103
gene-PA0193,1033,1274,1029,1628
gene-PA0194,955,1195,960,1726
gene-PA0195,1283,1515,2091,3138
gene-PA0195.1,1088,1025,947,1163
gene-PA0196,2340,2745,2086,2630
gene-PA0197,510,561,592,922
gene-PA0198,807,793,1088,1600
gene-PA0199,1152,1355,1975,2635
gene-PA0200,424,435,1020,1300
gene-PA0201,1530,1666,1424,1657
gene-PA0202,1995,2554,1923,2667
gene-PA0203,1452,1805,812,1224
gene-PA0204,953,932,639,944
gene-PA0205,1311,1509,875,1491
gene-PA0206,1359,1649,890,1455
gene-PA0207,852,1060,1182,1873
gene-PA0208,1341,1657,1160,2108
gene-PA0209,129,165,257,617
gene-PA0210,91,166,197,375
gene-PA0211,569,924,832,1558
gene-PA0212,239,391,442,767
gene-PA0213,127,172,230,492
gene-PA0214,286,283,387,738
gene-PA0215,399,472,387,653
gene-PA0216,1096,1369,800,1381
gene-PA0217,1744,2013,1263,1644
gene-PA0218,1839,2202,1323,1905
gene-PA0219,986,1167,843,1484
gene-PA0220,2141,2361,1432,2336
gene-PA0221,1565,1978,1207,1993
gene-PA0222,1406,1847,900,1474
gene-PA0223,1308,1590,1211,1640
gene-PA0224,1472,1728,1072,1562
gene-PA0225,1272,1323,920,1144
gene-PA0226,1324,1563,1145,1717
gene-PA0227,632,970,714,1175
gene-PA0228,583,947,995,1827
gene-PA0229,2095,1999,1252,1847
gene-PA0230,847,840,1152,1939
gene-PA0231,1151,1221,1623,2403
gene-PA0232,992,1207,923,1230
gene-PA0233,1274,1701,1776,2564
gene-PA0234,1493,1244,646,1095
gene-PA0235,1543,2157,1258,2050
gene-PA0236,977,1032,864,1343
gene-PA0237,946,1211,867,1475
gene-PA0238,244,296,394,922
gene-PA0239,1264,1684,1099,1691
gene-PA0240,1323,1955,1255,2039
gene-PA0241,1456,1709,1093,1745
gene-PA0242,1287,1576,1473,2534
gene-PA0243,1440,1524,954,1313
gene-PA0244,666,927,824,1270
gene-PA0245,750,954,820,1292
gene-PA0246,1887,2192,2221,3375
gene-PA0247,1426,1696,1051,1906
gene-PA0248,1404,1519,1369,2060
gene-PA0249,675,920,766,1093
gene-PA0250,1045,1147,897,1064
gene-PA0251,1041,1161,671,936
gene-PA0252,952,845,601,795
gene-PA0253,880,788,591,905
gene-PA0254,1586,1549,1398,1975
gene-PA0255,820,1010,953,1451
gene-PA0256,1658,1207,656,993
gene-PA0257,1654,1130,686,880
gene-PA0258,642,462,312,412
gene-PA0259,4167,3828,3537,4739
gene-PA0260,8634,7896,6455,8071
gene-PA0261,1009,974,451,706
gene-PA0262,4710,4414,2509,3785
gene-PA0263,765,696,391,536
gene-PA0263.1,697,340,245,292
gene-PA0265,15526,17250,20127,23146
gene-PA0266,21796,20560,31738,35444
gene-PA0267,1085,1221,1629,2418
gene-PA0268,953,1228,1276,2048
gene-PA0269,1159,1316,1197,1558
gene-PA0270,896,1022,748,1023
gene-PA0271,578,761,610,892
gene-PA0272,1852,2403,2037,2901
gene-PA0273,518,587,547,1023
gene-PA0274,897,1214,843,1389
gene-PA0275,1174,1574,1374,1895
gene-PA0276,708,610,563,898
gene-PA0277,19779,16832,4781,4865
gene-PA0278,393,544,537,939
gene-PA0279,663,610,451,797
gene-PA0280,3167,3481,1762,2482
gene-PA0281,3004,3145,1393,1868
gene-PA0282,2881,3083,1436,1894
gene-PA0283,5993,7531,1943,2427
gene-PA0284,4417,6145,858,1036
gene-PA0285,6395,6681,5375,6767
gene-PA0286,11109,10807,10360,11340
gene-PA0287,1073,1173,903,1575
gene-PA0288,663,942,811,1527
gene-PA0289,1388,1668,1404,2076
gene-PA0290,1558,1669,1428,2031
gene-PA0291,34122,36522,30236,36759
gene-PA0292,6058,5756,6716,8589
gene-PA0293,2846,3273,2816,3664
gene-PA0294,1314,1372,1700,2523
gene-PA0295,3983,4026,4574,6138
gene-PA0296,19882,22446,21564,28588
gene-PA0297,3175,3748,3176,3985
gene-PA0298,8104,7414,8922,10597
gene-PA0299,8139,7748,10670,11870
gene-PA0300,10272,9552,10352,12428
gene-PA0301,8466,7851,8963,10169
gene-PA0302,5585,4533,5597,6150
gene-PA0303,5168,3863,4367,5068
gene-PA0304,3294,2994,3333,3868
gene-PA0305,3728,4540,4150,5871
gene-PA0306,2191,2581,2451,3497
gene-PA0306a,4222,4203,4853,5705
gene-PA0307,1108,1212,1221,1726
gene-PA0308,1710,1874,2070,2805
gene-PA0309,2515,2808,2821,3690
gene-PA0310,1684,2022,2221,2738
gene-PA0311,497,661,573,1103
gene-PA0312,978,917,1506,1931
gene-PA0313,1531,1569,1775,2242
gene-PA0314,3527,4082,3842,4779
gene-PA0315,6163,5979,4633,5389
gene-PA0316,26554,27752,21778,24664
gene-PA0317,9245,9229,9624,10640
gene-PA0318,3059,3533,3748,4836
gene-PA0319,4465,4703,3787,4738
gene-PA0320,1165,1133,619,880
gene-PA0321,1154,1428,880,1354
gene-PA0322,1003,1456,1078,1777
gene-PA0323,1393,1348,606,952
gene-PA0324,994,1326,805,1201
gene-PA0325,1325,1391,824,1400
gene-PA0326,862,956,703,1308
gene-PA0327,1537,1766,1006,1567
gene-PA0328,2985,3461,2805,4000
gene-PA0329,4710,4984,4358,5029
gene-PA0330,4118,4245,5652,6250
gene-PA0331,5046,5992,6360,7407
gene-PA0332,618,522,571,854
gene-PA0333,1425,1229,1283,1984
gene-PA0334,2226,2245,2260,3619
gene-PA0335,3936,4797,4815,5833
gene-PA0336,3676,3250,3701,4157
gene-PA0337,9989,10862,14697,16294
gene-PA0338,2010,2055,1413,1879
gene-PA0339,671,855,903,1312
gene-PA0340,2473,2946,2189,2676
gene-PA0341,3256,3542,2903,3327
gene-PA0342,8302,8767,7800,8758
gene-PA0343,2739,3019,2628,3171
gene-PA0344,1573,1819,1802,2674
gene-PA0345,892,969,1207,1861
gene-PA0346,414,524,432,604
gene-PA0347,977,1222,897,1634
gene-PA0348,918,1334,930,1536
gene-PA0349,674,685,680,1259
gene-PA0350,779,864,956,1284
gene-PA0351,1671,1992,2019,2561
gene-PA0352,3781,4243,4158,4487
gene-PA0353,11120,12201,16621,18915
gene-PA0354,8042,9071,9763,11804
gene-PA0355,1198,1276,1074,1422
gene-PA0356,3200,3452,2840,3508
gene-PA0357,4287,5028,4658,5816
gene-PA0358,2026,2012,1909,2437
gene-PA0359,1635,1987,2010,2483
gene-PA0360,2288,2453,1590,2201
gene-PA0361,2587,3217,3572,5204
gene-PA0362,2648,2542,2431,2629
gene-PA0363,3363,3055,2197,2529
gene-PA0364,1918,2361,1564,2256
gene-PA0365,1201,1286,702,1017
gene-PA0366,2748,3471,2288,3240
gene-PA0367,1605,1864,1487,1903
gene-PA0367a,844,1029,1272,1620
gene-PA0368,2281,2347,2445,3248
gene-PA0370,2705,2903,3557,4051
gene-PA0371,12998,13669,13034,15501
gene-PA0372,11161,10842,11241,13073
gene-PA0373,5452,5564,7932,8817
gene-PA0374,7202,7345,8720,9604
gene-PA0375,3803,3987,4738,6153
gene-PA0376,13976,14281,17620,19830
gene-PA0377,649,832,1052,1451
gene-PA0378,1012,1166,1287,1729
gene-PA0379,1426,1391,1176,1485
gene-PA0380,3061,3641,3990,4248
gene-PA0381,7754,8349,8320,9235
gene-PA0382,3777,4011,4556,4720
gene-PA0383,1675,1879,2341,3440
gene-PA0384,1036,1143,925,1365
gene-PA0385,2364,2521,1542,1992
gene-PA0386,3376,3711,4231,5073
gene-PA0387,3094,3178,5361,6797
gene-PA0388,4373,5034,6203,7226
gene-PA0389,3294,3948,4204,4941
gene-PA0390,7502,8687,6896,7881
gene-PA0391,3528,4256,4573,5854
gene-PA0392,6832,6208,8242,9710
gene-PA0393,6427,6604,9595,11871
gene-PA0394,4919,6109,6277,7687
gene-PA0395,4294,4230,3593,4445
gene-PA0396,3498,3797,3962,4688
gene-PA0397,1524,1926,1314,1915
gene-PA0398,940,893,989,1108
gene-PA0399,4951,5582,4988,5920
gene-PA0400,5965,7078,6868,8200
gene-PA0401,7056,7575,12661,14817
gene-PA0402,13655,14554,16433,19028
gene-PA0403,4300,4596,5824,6431
gene-PA0404,1593,1556,2376,3012
gene-PA0405,3369,3445,4227,4606
gene-PA0406,3768,4319,3230,4190
gene-PA0407,5319,5636,5674,7063
gene-PA0408,7026,9407,9227,11482
gene-PA0409,4237,5714,7482,8683
gene-PA0410,2737,3230,4658,5238
gene-PA0411,9956,10786,17119,17200
gene-PA0412,3595,3965,4645,5596
gene-PA0413,14545,15855,29607,36517
gene-PA0414,2467,2714,3937,5056
gene-PA0415,1232,1244,2149,2678
gene-PA0416,776,1038,1362,2091
gene-PA0417,511,637,625,1173
gene-PA0418,2801,2874,2722,3863
gene-PA0419,1674,1864,2084,2611
gene-PA0420,6091,6668,7119,8441
gene-PA0421,5045,5236,4577,5841
gene-PA0422,5629,5170,6132,7097
gene-PA0423,17797,19295,19791,22471
gene-PA0424,1285,1147,1374,1475
gene-PA0425,9447,10106,14217,15252
gene-PA0426,27481,27283,38320,42892
gene-PA0427,15036,16451,24868,28526
gene-PA0428,38076,39953,58093,67858
gene-PA0429,17216,15641,15584,18599
gene-PA0430,11104,11312,12944,15203
gene-PA0431,15648,15544,16345,18619
gene-PA0432,68824,70823,79632,87720
gene-PA0433,1000,1180,1154,1573
gene-PA0434,3845,4648,3126,4680
gene-PA0435,1245,1492,1356,2342
gene-PA0436,2461,2426,2226,2701
gene-PA0437,3574,3881,4810,6075
gene-PA0438,2102,2577,2547,3837
gene-PA0439,1104,1360,906,1379
gene-PA0440,810,1044,1153,2013
gene-PA0441,1816,2042,1694,2316
gene-PA0442,236,174,67,103
gene-PA0443,1948,2173,1224,2024
gene-PA0444,1344,1655,1338,2180
gene-PA0445,1112,1332,968,1359
gene-PA0446,1754,2093,2062,2831
gene-PA0447,3140,3760,3222,4153
gene-PA0448,1524,1875,1444,1973
gene-PA0449,3198,4032,7040,9791
gene-PA0450,2312,2792,2132,3095
gene-PA0451,469,569,615,1365
gene-PA0451a,1182,1613,1157,1681
gene-PA0452,933,1046,562,843
gene-PA0454,4282,5022,4482,6222
gene-PA0455,4088,4695,5510,7017
gene-PA0456,95729,93430,83046,100579
gene-PA0457,1757,1875,1561,1887
gene-PA0457.1,860,1228,889,1227
gene-PA0458,2815,3385,2390,3391
gene-PA0459,3099,3998,7512,8667
gene-PA0460,6642,6645,7485,8175
gene-PA0461,3797,3703,2870,3366
gene-PA0462,2600,2712,2478,3039
gene-PA0463,1540,1809,1814,2522
gene-PA0464,1592,1999,1776,2334
gene-PA0465,1514,1831,1287,2007
gene-PA0466,349,421,231,368
gene-PA0467,1075,1263,2045,2724
gene-PA0468,750,907,1962,2786
gene-PA0469,1782,2102,2146,2708
gene-PA0470,4007,3912,2711,3890
gene-PA0471,1650,1862,1702,2710
gene-PA0472,2327,2981,1993,2917
gene-PA0473,1340,1022,1226,1382
gene-PA0474,331,386,308,594
gene-PA0475,706,845,736,1178
gene-PA0476,2041,2636,1553,2478
gene-PA0477,1097,1197,1214,1967
gene-PA0478,1017,978,811,1125
gene-PA0479,668,788,861,1523
gene-PA0480,448,524,503,805
gene-PA0481,599,534,331,454
gene-PA0482,9561,11161,10941,12084
gene-PA0483,849,1029,557,843
gene-PA0484,763,997,536,836
gene-PA0485,2809,2977,2643,3342
gene-PA0486,2120,2486,2316,3160
gene-PA0487,1374,1702,1562,2216
gene-PA0488,394,396,477,732
gene-PA0489,390,363,536,827
gene-PA0490,809,686,554,620
gene-PA0491,2090,2287,1615,2105
gene-PA0492,888,1363,2045,2456
gene-PA0493,422,699,459,711
gene-PA0494,1238,1633,1420,2237
gene-PA0495,1232,1540,1585,1880
gene-PA0496,1021,1284,1057,1462
gene-PA0497,2016,899,431,678
gene-PA0498,2848,1443,882,1125
gene-PA0499,1037,795,420,634
gene-PA0500,10289,10481,11020,12644
gene-PA0501,2827,2674,3796,4633
gene-PA0502,1952,2051,3473,4089
gene-PA0503,1726,1416,2402,3199
gene-PA0504,579,581,1055,1521
gene-PA0505,1303,2069,2709,3652
gene-PA0506,9336,11865,32388,35515
gene-PA0507,2166,2662,2137,2828
gene-PA0508,3204,3701,3750,4887
gene-PA0509,2863,3041,11465,12977
gene-PA0510,1316,1301,8615,9505
gene-PA0511,4151,3748,18898,22429
gene-PA0512,1439,1479,7628,9153
gene-PA0513,1996,2122,11142,12138
gene-PA0514,2619,2577,14481,15375
gene-PA0515,1848,1713,9959,11198
gene-PA0516,6880,6118,33834,34005
gene-PA0517,2268,2057,15283,17469
gene-PA0518,4393,4656,32715,33191
gene-PA0519,31122,31667,187869,194652
gene-PA0520,1155,1157,4056,5010
gene-PA0521,550,416,1303,1605
gene-PA0522,347,349,706,817
gene-PA0523,4744,4961,23776,27483
gene-PA0524,13952,14568,87105,97100
gene-PA0525,2268,2735,22272,25289
gene-PA0526,698,1040,3621,3574
gene-PA0527,4001,4024,6058,7319
gene-PA0527.1,357,268,144,235
gene-PA0528,1768,2298,1310,1719
gene-PA0529,1679,2145,1826,2613
gene-PA0530,1045,1205,2110,2893
gene-PA0531,920,1007,1132,1579
gene-PA0532,918,805,460,680
gene-PA0533,1840,2398,1881,2602
gene-PA0534,1329,1769,2131,2774
gene-PA0535,733,1099,828,1082
gene-PA0536,6550,7444,7134,7813
gene-PA0537,9076,8096,6361,7602
gene-PA0538,1701,1634,1347,1793
gene-PA0539,1159,1315,1083,1447
gene-PA0540,814,916,592,846
gene-PA0541,2192,2463,2628,3027
gene-PA0542,2096,2151,3153,3811
gene-PA0543,593,690,804,1325
gene-PA0544,1310,1430,1324,1732
gene-PA0545,1742,1993,2630,3382
gene-PA0546,37098,38779,32144,36736
gene-PA0547,12652,13011,9199,11460
gene-PA0548,33918,37118,40808,46246
gene-PA0549,2222,2739,4358,5628
gene-PA0550,919,1036,1340,2072
gene-PA0551,8496,9339,7946,9439
gene-PA0552,7318,7178,8617,9347
gene-PA0553,1266,1241,1713,1881
gene-PA0554,2472,2758,3521,4147
gene-PA0555,29604,31088,30671,35147
gene-PA0556,1240,1346,2133,2579
gene-PA0557,1176,1285,962,1437
gene-PA0558,1787,2156,2046,2810
gene-PA0559,2463,2539,2296,3081
gene-PA0560,1140,1110,852,1063
gene-PA0561,2893,1844,1196,1434
gene-PA0562,2139,2401,2262,3160
gene-PA0563,17231,14953,5351,5583
gene-PA0564,1493,1746,1103,1938
gene-PA0565,777,849,608,828
gene-PA0566,816,887,1128,1777
gene-PA0567,1256,932,896,923
gene-PA0568,1132,1050,997,1264
gene-PA0569,1101,1266,892,1260
gene-PA0570,982,1228,933,1245
gene-PA0571,1307,1743,1345,1749
gene-PA0572,3168,3961,2455,3719
gene-PA0573,582,478,264,351
gene-PA0574,2555,2082,1525,1892
gene-PA0574.1,265,279,134,168
gene-PA0575,4704,5526,2954,4730
gene-PA0576,44047,47355,58400,65119
gene-PA0577,12382,13134,15188,18096
gene-PA0578,11133,12380,13589,12908
gene-PA0579,25568,25629,23857,22473
gene-PA0580,4214,4449,5322,5725
gene-PA0581,1367,1532,1939,2295
gene-PA0582,1010,1246,1068,1285
gene-PA0583,1878,2111,1746,2118
gene-PA0584,2649,2992,2581,3485
gene-PA0585,1016,1147,657,1104
gene-PA0586,3365,2475,4768,5583
gene-PA0587,2358,1882,4683,5708
gene-PA0588,5523,4347,10227,12300
gene-PA0589,3265,3733,3735,4603
gene-PA0590,6148,7224,8480,9954
gene-PA0591,2730,3038,3600,3707
gene-PA0592,5582,5312,5275,5757
gene-PA0593,10189,9959,9927,11496
gene-PA0594,27760,28539,28955,33035
gene-PA0595,70170,74560,63493,73852
gene-PA0596,4479,4964,6595,8083
gene-PA0597,1233,1482,2239,2811
gene-PA0598,1410,1553,1925,2203
gene-PA0599,1945,2136,2024,2996
gene-PA0600,3296,4192,2784,4076
gene-PA0601,1293,1522,1515,1702
gene-PA0602,1484,1638,769,1254
gene-PA0603,4083,4613,2799,3184
gene-PA0604,2620,3016,1703,1901
gene-PA0605,2557,2703,1673,1925
gene-PA0606,1644,1631,991,1360
gene-PA0607,6099,7535,7343,8081
gene-PA0608,5954,6518,5794,6699
gene-PA0609,6226,6113,5868,6541
gene-PA0610,1850,1897,1594,2244
gene-PA0611,2524,2426,2331,2541
gene-PA0612,472,444,379,647
gene-PA0613,1150,898,719,884
gene-PA0614,336,299,239,429
gene-PA0615,1020,1103,913,1255
gene-PA0616,1510,1621,1413,1758
gene-PA0617,1323,1033,806,969
gene-PA0618,3505,3271,2571,3117
gene-PA0619,2964,2662,2462,2787
gene-PA0620,10246,7908,6697,7829
gene-PA0621,5321,3771,3091,3889
gene-PA0622,13177,10411,10371,11982
gene-PA0623,4509,3311,3510,3586
gene-PA0624,1977,1764,1740,1920
gene-PA0625,5966,5693,4965,6297
gene-PA0626,3288,3328,3276,4164
gene-PA0627,1919,1686,1371,1649
gene-PA0628,2306,2370,1716,2074
gene-PA0629,1320,1318,1467,1687
gene-PA0630,496,464,822,1047
gene-PA0631,579,629,726,895
gene-PA0633,3576,2962,3181,3490
gene-PA0634,1916,1773,1723,1936
gene-PA0635,2358,2460,1992,2417
gene-PA0636,5381,4519,3867,5352
gene-PA0637,1909,1932,1644,1964
gene-PA0638,2517,2455,2206,2724
gene-PA0639,2111,2045,1887,2278
gene-PA0640,1905,1600,1194,1376
gene-PA0641,10575,10421,9965,12175
gene-PA0643,4362,3186,2544,3210
gene-PA0644,1769,1235,1116,1305
gene-PA0645,1070,754,762,806
gene-PA0646,4526,3214,2593,3197
gene-PA0647,1361,868,536,726
gene-PA0648,1618,1212,743,921
gene-PA0649,5220,5145,5526,6126
gene-PA0650,3976,4461,4743,5175
gene-PA0651,3476,3239,3693,4183
gene-PA0652,9049,8642,9395,10962
gene-PA0653,1034,886,821,914
gene-PA0654,7790,8228,5579,6336
gene-PA0655,5154,5263,7135,7946
gene-PA0656,919,897,719,963
gene-PA0657,2100,2349,2689,3609
gene-PA0658,2158,2486,2211,2792
gene-PA0659,8770,8587,5879,6804
gene-PA0660,3459,3568,3826,4790
gene-PA0661,2403,2135,2241,2632
gene-PA0662,1921,1949,2413,2907
gene-PA0663,1573,1476,1479,1729
gene-PA0664,1847,1645,1698,2062
gene-PA0665,1193,1007,969,1150
gene-PA0666,5211,5239,5757,6058
gene-PA0667,17764,18231,16950,18937
gene-PA0668,9494,8463,8356,9156
gene-PA0668.1,52798,8700,19738,16240
gene-PA0668.2,1727,1105,1119,870
gene-PA0668.3,1453,840,944,757
gene-PA0668.4,1326944,341836,789321,738520
gene-PA0668.5,2070,1310,851,906
gene-PA0669,2735,2894,1837,3212
gene-PA0670,886,1091,1059,1786
gene-PA0671,396,451,434,755
gene-PA0672,10670,11219,5812,8029
gene-PA0673,837,938,658,825
gene-PA0674,579,739,658,1237
gene-PA0675,775,623,449,738
gene-PA0676,762,875,684,1128
gene-PA0677,264,358,312,732
gene-PA0678,153,201,204,435
gene-PA0679,413,610,391,851
gene-PA0680,291,475,259,657
gene-PA0681,416,604,279,484
gene-PA0682,386,560,535,936
gene-PA0683,250,319,353,829
gene-PA0684,204,364,332,720
gene-PA0685,1126,1395,950,1809
gene-PA0686,508,613,607,1171
gene-PA0687,337,315,373,788
gene-PA0688,928,1018,599,925
gene-PA0689,1965,1532,1236,1589
gene-PA0690,9269,9703,7352,12289
gene-PA0691,650,389,119,214
gene-PA0692,1361,1758,898,1515
gene-PA0693,949,1341,937,1673
gene-PA0694,429,494,300,481
gene-PA0695,337,422,341,807
gene-PA0696,1159,1588,924,1525
gene-PA0697,513,500,364,649
gene-PA0698,450,568,321,472
gene-PA0699,396,578,575,832
gene-PA0700,182,312,273,512
gene-PA0701,681,900,681,1229
gene-PA0701a,263,370,417,817
gene-PA0702,967,1242,889,1400
gene-PA0703,1452,1579,1508,2223
gene-PA0704,2023,2286,2174,2940
gene-PA0705,7646,8686,6958,8154
gene-PA0706,2103,1990,1271,1312
gene-PA0707,1526,2052,1217,1594
gene-PA0708,1237,1147,1130,1401
gene-PA0709,405,286,167,254
gene-PA0710,371,487,319,497
gene-PA0711,508,718,414,622
gene-PA0712,657,813,477,556
gene-PA0713,439,373,482,548
gene-PA0714,615,406,243,308
gene-PA0714.1,1193,1089,528,627
gene-PA0715,1565,1146,889,1063
gene-PA0716,3471,3064,2256,2747
gene-PA0718,1378,1288,938,1207
gene-PA0719,1584,1445,954,1309
