"gene_id","ST29_biol_rep_1","ST29_biol_rep_2","ST29_biol_rep_3","ST61_biol_rep_1","ST61_biol_rep_2","ST61_biol_rep_3","ST40_biol_rep_1","ST40_biol_rep_2","ST40_biol_rep_3","ST41_biol_rep_1","ST41_biol_rep_2","ST41_biol_rep_3"
"gene-SA0176",780,2089,1924,619,667,608,4230,2591,4096,3088,3736,3705
"gene-argJ",1223,2988,2807,981,1072,1007,6497,3689,5836,4555,5274,5748
"gene-argC",910,1799,1899,612,664,620,4442,2367,4332,3038,3259,3440
"gene-SA0179",1337,1651,1746,558,526,509,4295,2183,3996,2467,2903,3276
"gene-SA0180",1878,833,962,610,675,585,1529,729,1678,2344,2415,2228
"gene-SA0181",198,131,88,68,70,59,151,150,148,131,175,187
"gene-SA0182",253,450,187,162,202,152,456,379,459,407,424,500
"gene-glcA",23585,7520,9790,6251,6708,6791,35571,22580,35678,21742,25285,32308
"gene-SA0184",133,60,100,32,24,30,116,88,102,100,93,116
"gene-SA0185",44,22,35,21,19,23,49,45,33,77,35,58
"gene-SA0186",128,92,121,66,64,74,154,144,125,164,142,201
"gene-SA0187",154,106,141,67,72,73,139,155,140,152,140,184
"gene-SA0188",34,28,32,13,20,12,27,34,35,42,43,42
"gene-hsdR",8251,4261,6255,752,898,817,6728,5960,6592,3994,3974,5782
"gene-SA0190",839,654,989,83,122,111,1304,1132,1377,784,856,847
"gene-SA0191",328,581,1047,34,46,45,1212,671,1201,703,616,1063
"gene-SA0192",174,333,510,43,51,44,725,431,685,400,390,581
"gene-SA0193",372,894,1176,66,105,86,1820,1153,1850,952,939,1406
"gene-SA0194",2350,3103,7773,541,640,679,9459,6815,8534,4570,4728,7880
"gene-SA0195",1099,1074,740,105,111,96,2224,1646,2326,1445,871,337
"gene-SA0196",235,394,292,32,71,50,825,571,984,540,440,138
"gene-SA0197",460,975,745,124,132,138,2135,1339,1947,1571,1108,1479
"gene-SAS006",61,114,98,14,17,11,281,180,276,208,176,194
"gene-oppF",453,314,203,126,156,131,462,408,548,386,483,440
"gene-oppB(truncated)",197,331,236,73,109,86,1127,651,1156,342,359,462
"gene-SA0200",179,417,316,77,146,135,1337,894,1454,504,479,700
"gene-rlp",353,901,620,184,248,217,2656,1749,2514,970,973,1499
"gene-SA0202",613,1140,693,336,387,343,2981,2376,2826,1196,1254,1816
"gene-SA0203",1261,155,94,61,81,51,174,141,169,147,128,145
"gene-SA0204",3163,1515,1082,338,462,299,1954,1450,2036,968,946,1110
"gene-SA0205",74,103,105,40,42,42,79,77,71,125,90,143
"gene-msmX",14,9,15,4,4,3,18,16,14,38,9,22
"gene-SA0207",38,14,12,6,10,6,10,19,22,39,25,29
"gene-SA0208",14,12,14,7,6,5,18,18,23,35,17,14
"gene-SA0209",5,4,4,1,8,2,5,2,4,20,9,7
"gene-SA0210",30,30,28,9,10,7,29,26,26,57,28,54
"gene-SA0211",35,35,44,13,5,16,37,37,26,46,39,53
"gene-SA0212",76,69,47,16,26,26,73,57,64,56,60,76
"gene-SA0213",70,28,43,45,41,48,119,34,109,64,78,76
"gene-uhpT",1475,4109,3340,158,130,135,1451,821,1453,503,531,1402
"gene-SA0215",280,198,249,84,66,60,162,130,221,205,220,224
"gene-SA0216",570,414,455,144,159,131,333,256,326,416,381,449
"gene-SA0217",485,252,392,78,91,69,194,145,195,238,221,294
"gene-pflB",14531,10494,7073,3791,3451,4058,11975,9364,11520,9254,11075,14624
"gene-pflA",3858,3368,1832,1354,1158,1377,3834,3130,3915,3419,4241,4671
"gene-SA0220",114,144,129,57,74,65,124,78,157,276,260,213
"gene-SA0221",97,40,83,42,40,52,47,62,41,99,138,86
"gene-coa",76,49,163,37,50,47,52,96,55,207,356,216
"gene-SA0223",37,39,36,24,16,22,53,55,38,52,53,44
"gene-SA0224",52,36,44,14,19,11,66,51,62,63,39,48
"gene-SA0225",3,6,3,1,4,3,5,5,8,20,7,8
"gene-SA0226",43,28,33,8,20,9,56,50,57,49,33,59
"gene-SA0227",161,108,140,34,41,52,202,112,234,147,147,214
"gene-SA0228",98,169,239,70,51,70,309,201,313,281,289,319
"gene-SA0229",301,254,339,202,161,134,259,255,267,572,567,539
"gene-SA0230",50,76,96,49,43,33,41,60,38,117,130,145
"gene-SAS007",65,106,172,34,39,32,93,96,76,207,198,240
"gene-SA0231",971,1198,2036,893,771,810,995,990,1037,2036,1978,2836
"gene-lctE",4217,3571,10173,15387,10034,13102,5066,3751,5440,32633,35437,35442
"gene-SA0233",446,171,178,121,104,118,261,224,259,258,339,353
"gene-SA0234",129,115,165,108,88,75,167,163,163,359,322,436
"gene-SA0235",174,79,88,20,17,20,119,96,119,93,61,105
"gene-SA0236",11,7,13,5,4,3,17,9,18,17,13,13
"gene-SA0237",4,6,7,2,0,2,7,6,7,11,9,10
"gene-gatC",4,6,6,3,4,0,5,1,5,27,8,9
"gene-SA0239",26,29,29,5,4,15,20,16,17,40,22,29
"gene-SAS008",3,7,2,1,3,1,2,3,0,3,0,0
"gene-SA0240",78,58,72,19,26,21,72,67,75,74,83,72
"gene-SA0241",3043,1952,2631,382,470,424,2977,2765,3092,1644,1691,2689
"gene-SA0242",3418,3500,4065,672,803,736,5193,4514,5217,2569,2707,4158
"gene-SA0243",5714,6547,7204,1241,1356,1281,10226,9741,10314,4674,4974,6721
"gene-SA0244",1459,446,560,159,166,132,706,725,738,529,560,584
"gene-SA0245",1052,621,621,166,201,187,654,598,697,554,691,697
"gene-SA0246",1673,1431,1197,386,355,341,1444,1223,1531,1227,1214,1548
"gene-SA0247",3405,3478,2822,855,825,848,3326,3020,3420,2792,2888,3695
"gene-SA0248",10845,8220,7704,1798,1949,1714,7427,7943,7594,5612,6150,7677
"gene-scdA",5003,2944,2850,848,763,900,3080,2410,3178,2690,2879,3497
"gene-lytS",63,165,163,58,47,37,119,63,110,176,163,186
"gene-lytR",21,70,59,17,15,18,55,36,47,74,50,76
"gene-lrgA",12,17,24,54,58,42,20,20,20,158,173,154
"gene-lrgB",137,63,122,316,241,242,110,84,120,632,822,664
"gene-SA0254",4844,2913,3542,853,1213,873,4272,4169,4418,3717,3878,4531
"gene-SA0255",65,60,59,32,24,38,168,112,144,97,99,127
"gene-bglA",205,227,222,100,98,106,615,458,590,394,366,485
"gene-SA0257",165,236,139,56,29,52,202,134,176,142,149,160
"gene-rbsK",312,163,222,141,100,110,265,229,208,256,286,318
"gene-rbsD",105,69,64,36,30,24,88,63,70,112,79,107
"gene-SA0260",182,107,129,66,71,72,168,121,148,188,159,209
"gene-SA0261",658,284,325,180,127,112,319,287,332,334,383,401
"gene-SA0262",75,58,56,36,24,30,60,47,63,109,100,47
"gene-SA0263",272,107,78,56,72,53,178,234,192,128,234,166
"gene-SA0264",234,208,157,38,32,46,220,226,196,150,180,177
"gene-lytM",266,221,185,85,95,89,275,274,263,202,219,236
"gene-SA0266",47,27,40,13,12,11,47,38,44,53,61,56
"gene-SA0267",42,32,22,13,34,12,38,36,37,48,55,55
"gene-SA0268",23,10,21,9,28,13,43,24,27,63,45,31
"gene-SA0269",33,34,77,48,34,26,109,60,120,192,154,171
"gene-SA0270",133,32,45,37,24,29,78,62,78,84,47,79
"gene-SA0271",135,48,77,94,80,75,148,110,150,205,218,269
"gene-SA0272",49,55,54,27,38,25,82,54,101,143,111,132
"gene-SA0273",4,7,8,6,4,5,12,5,8,20,15,18
"gene-SA0274",0,0,0,0,0,0,4,0,2,3,1,1
"gene-SA0275",7,8,11,3,2,5,11,3,10,32,16,17
"gene-SA0276",47,57,72,32,25,23,54,61,67,159,83,124
"gene-SA0277",7,2,4,2,8,2,10,8,3,30,14,14
"gene-SA0278",3,8,7,1,2,1,5,7,3,39,8,18
"gene-SA0279",13,12,21,3,4,5,17,12,21,45,19,32
"gene-SA0280",11,11,4,2,1,2,3,10,7,15,5,15
"gene-SA0281",847,279,428,51,65,43,271,202,256,323,258,423
"gene-SA0282",586,377,697,19,21,20,259,239,260,358,232,598
"gene-SA0283",161,45,74,8,4,7,43,60,57,47,34,40
"gene-SA0284",188,140,163,14,19,15,92,118,81,103,97,92
"gene-SA0285",65,85,104,18,31,32,99,91,115,155,160,145
"gene-SA0286",22,34,40,5,3,1,19,11,19,53,27,51
"gene-SA0287",29,48,41,8,4,2,20,20,30,71,24,45
"gene-SA0288",49,73,66,5,9,4,44,29,46,83,34,82
"gene-SA0289",64,61,63,9,7,5,49,35,51,85,36,67
"gene-SA0290",95,80,103,7,11,9,74,38,67,90,42,100
"gene-SA0291",67,50,75,15,18,12,49,40,52,83,57,80
"gene-SA0292",203,124,184,51,64,48,149,162,188,187,180,200
"gene-SA0293",12888,5658,7850,1807,1745,2079,6730,4448,6875,6833,6973,10104
"gene-SA0294",113,95,113,202,189,153,245,170,233,550,649,524
"gene-SA0295",12,28,36,10,13,10,36,17,41,41,39,44
"gene-SA0296",387,177,317,178,140,125,227,200,223,428,414,599
"gene-SA0297",284,146,281,226,148,162,234,240,231,454,410,529
"gene-SA0298",142,153,164,219,223,263,364,180,390,826,846,821
"gene-SA0299",21,12,19,4,4,4,11,11,13,19,17,15
"gene-SA0300",8,8,6,4,4,5,8,4,7,17,4,15
"gene-SA0301",46,18,35,9,12,11,26,25,23,42,26,43
"gene-SA0302",68,48,59,26,30,18,49,43,56,89,65,74
"gene-SA0303",130,38,45,33,27,39,66,59,62,94,71,70
"gene-nanA",114,14,16,10,9,9,14,13,34,47,32,40
"gene-SA0305",160,43,35,20,33,24,68,41,81,95,90,101
"gene-SA0306",447,245,252,77,76,81,281,206,292,235,298,337
"gene-SA0307",757,133,176,73,87,77,286,223,251,201,210,254
"gene-SA0308",121,49,85,41,52,48,53,48,64,117,100,107
"gene-geh",1969,714,832,908,1029,1133,1072,972,1008,1161,1194,1340
"gene-SA0310",1099,596,754,275,276,263,838,739,868,686,850,899
"gene-SA0311",528,215,349,189,212,202,450,358,439,397,487,550
"gene-SA0312",1097,353,283,61,78,59,324,381,295,217,223,339
"gene-SA0313",306,113,99,22,21,14,127,133,106,75,75,114
"gene-SA0314",705,241,223,46,57,61,266,348,255,165,190,219
"gene-SA0315",787,303,200,57,64,53,257,411,245,175,188,265
"gene-SA0316",928,358,296,65,65,57,339,536,341,229,216,300
"gene-SA0317",1600,665,674,244,230,221,699,839,631,614,698,838
"gene-SA0318",114,107,109,45,49,37,101,137,128,121,99,126
"gene-SA0319",13,14,11,7,3,7,19,16,15,26,10,23
"gene-SA0320",31,35,21,11,6,6,25,24,31,18,22,30
"gene-SA0321",112,55,66,28,17,32,97,99,114,84,90,96
"gene-SA0322",2240,586,843,208,286,253,1160,776,1170,658,832,904
"gene-SA0323",409,118,204,25,58,29,312,146,276,135,113,128
"gene-SA0324",184,58,82,16,19,10,99,46,67,75,79,112
"gene-glpT",296,436,343,174,182,155,698,439,731,679,769,753
"gene-SA0326",391,174,226,37,29,27,163,172,198,112,84,116
"gene-SA0327",453,98,118,40,41,35,67,96,82,86,110,123
"gene-SA0328",213,54,82,28,23,23,41,71,42,76,83,89
"gene-SA0329",1601,1653,2067,364,375,419,2497,2062,2744,1419,1777,1859
"gene-SA0330",276,158,172,65,47,69,157,134,137,170,233,208
"gene-SA0331",2467,1481,634,100,83,105,2621,3705,2748,428,849,805
"gene-SA0332",3175,1668,622,155,141,193,3731,5660,3490,541,946,972
"gene-SA0333",6057,2958,950,235,250,253,5969,10163,5618,909,1508,1672
"gene-SA0334",978,1076,393,165,158,160,1217,1099,1285,467,511,455
"gene-SA0335",388,498,173,63,70,63,456,425,471,217,212,228
"gene-SA0336",44,108,101,30,39,33,79,58,83,165,181,148
"gene-SA0337",9,14,8,13,6,13,25,16,18,10,12,21
"gene-SA0338",103,113,91,29,13,25,155,137,178,117,92,110
"gene-SA0339",182,222,182,70,55,81,436,290,398,204,196,339
"gene-SA0340",381,343,350,124,116,107,482,467,532,397,421,505
"gene-SA0341",247,103,136,37,83,54,101,145,95,276,212,160
"gene-SA0342",3946,921,1179,575,592,603,1323,1472,1326,1085,1633,1721
"gene-SA0343",8628,16780,22955,3264,3597,3285,24833,25677,24567,12220,13721,19388
"gene-metE",19807,42476,56633,7940,8608,7634,63634,64217,62445,31982,34682,49901
"gene-SA0345",6358,16058,17429,3556,3732,3470,29991,27076,28726,13607,14458,21161
"gene-SA0346",1531,6109,4112,1613,1595,1522,12939,9691,12032,4705,4895,7347
"gene-SA0347",1041,3534,2531,1134,1133,1032,8391,6014,8531,3615,3562,4608
"gene-SA0348",494,310,378,81,66,79,438,394,457,290,310,449
"gene-SA0349",695,639,573,157,144,157,971,831,1008,535,594,650
"gene-SA0350",331,218,223,74,56,57,335,248,306,178,203,298
"gene-SA0351",4872,2224,2593,582,530,547,3122,3342,3173,1909,2278,2834
"gene-SAS009",855,655,1117,261,306,308,767,707,680,692,822,1032
"gene-rpsF",20168,3985,3542,6386,7302,6503,8594,6841,8062,7929,9233,11767
"gene-ssb",32306,5569,5116,9375,11061,9391,12834,11943,12631,10938,15092,16019
"gene-rpsR",12080,3268,2584,3851,4686,4023,6503,6137,6928,5640,7747,7255
"gene-SA0355",578,544,652,150,179,140,572,399,641,788,708,739
"gene-SA0356",44,67,113,52,68,52,95,84,86,188,157,146
"gene-SA0357",105,74,103,35,45,45,121,91,147,201,199,219
"gene-SA0358",9,7,8,0,3,8,15,12,19,29,25,11
"gene-SA0359",495,424,568,878,389,618,1090,769,1151,1666,2112,2364
"gene-SAS010",1062,2501,2692,278,302,277,2660,2644,2986,1656,1885,2089
"gene-SA0360",3458,1185,2064,2084,1384,1506,2907,2659,2751,4773,5071,6235
"gene-SAS011",24,20,17,11,10,4,44,33,47,66,80,36
"gene-SA0361",787,395,498,74,53,74,557,564,605,405,406,588
"gene-SA0362",737,377,499,137,137,153,409,451,433,354,337,302
"gene-SA0363",1916,1029,1367,240,311,256,1270,1372,1378,1196,1119,1397
"gene-SA0364",233,183,359,94,107,85,286,186,316,305,317,324
"gene-ahpF",32240,17925,44606,20189,19358,20234,15553,16844,15691,50586,65377,67536
"gene-ahpC",15686,6666,17227,7499,6923,7417,6182,5150,5820,17729,19950,23105
"gene-SA0367",948,780,939,248,283,264,958,1047,896,694,851,957
"gene-SA0368",1727,619,736,671,831,717,861,876,863,788,1025,938
"gene-tnp-2",1,0,0,0,0,0,0,0,0,0,0,0
"gene-SA0370",9869,4957,6237,1028,1171,1097,5843,6738,5879,3254,3960,5199
"gene-SA0371",3214,1660,2388,268,323,264,1401,1306,1427,1269,1301,1429
"gene-SA0372",1088,348,490,180,127,114,453,425,469,353,402,505
"gene-xprT",271,931,2135,107,122,121,449,286,453,454,489,510
"gene-pbuX",650,2506,4923,312,291,308,1244,744,1254,1162,1215,1130
"gene-guaB",5817,7528,9825,1494,1343,1633,7109,6015,6614,4653,5397,6449
"gene-guaA",8647,12343,13445,2910,2924,3156,14540,12392,14308,10481,12299,14164
"gene-SA0377",2872,712,938,188,247,186,1000,1230,1047,1020,931,1090
